,id,xcenter,ycenter,aperture_sum,aperture_sum_err,total_bkg,total_bkg_err,corrected_sum,corrected_sum_err,magnitudes,magnitudes_err,star_id,plx
19,20,2030.0,1879.0,116580.86388804374,341.43939982950695,111786.42013994123,1165.6046694903935,4794.443748102509,1214.5843360153067,17.720075123623015,0.005666913006937396,221.0,5.2459994999267
20,21,1109.0,1975.0,112183.95280558488,334.93872943701837,111367.93226154296,1095.5289110716483,816.0205440419231,1145.5861152574762,19.642667960859193,0.005922063357912035,234.0,5.0897708439824
21,22,1236.0,1991.0,120603.20291749158,347.2797185843314,111556.21187315046,1109.419225643532,9046.99104434112,1162.503428454087,17.030660291444242,0.00566668446644249,236.0,5.4557877616812
22,23,986.0,1993.0,168527.9168841663,410.52151765835634,111558.79665413711,1096.4771481598523,56969.12023002919,1170.8074363008132,15.032821910635056,0.00566666667819204,237.0,5.3957381862409
23,24,3622.0,2165.0,497966.4000449532,705.6673450927503,112508.5184876122,1163.1288762443414,385457.881557341,1360.4540362260225,12.956978366886434,0.0056666666667164415,260.0,5.4117969249623
24,25,2038.0,2401.0,167351.19529684796,409.0858025963114,112479.83580934412,1222.5425145942527,54871.35948750384,1289.1708164073164,15.073556391542354,0.005666666682885388,285.0,5.3083749917892
25,26,1448.0,2450.0,112077.78133076637,334.7801986475607,111676.28806950834,1057.7631341947038,401.49326125803054,1109.4776381107927,20.41272504148177,0.00891534445992929,292.0,5.2780765717955
26,27,1713.0,2549.0,129050.60843219684,359.2361461738145,111904.45323110647,1069.80553159163,17146.15520109037,1128.509851149676,16.33650381622978,0.005666667966836694,307.0,5.5323319014874
27,28,2230.0,2587.0,226654.35517404808,476.0822988795492,111848.60217076099,1394.9046485885367,114805.75300328709,1473.9108975648242,14.272011563879005,0.005666666667812436,313.0,5.3769649697637
28,29,419.0,2619.0,292318.0562137814,540.6644594799027,111668.63117353102,1123.507341047008,180649.4250402504,1246.8307034763031,13.779829233309192,0.005666666666837842,317.0,5.4180127623563
29,30,1557.0,2816.0,115532.79034569816,339.90114782980726,112247.86225708427,1051.0238379163916,3284.9280886138877,1104.6193453694905,18.13060602565165,0.005667591213154327,340.0,5.3608009173477
30,31,2809.0,2854.0,333329.3694031353,577.3468365027131,112027.15772032794,1069.6696230875984,221302.21168280736,1215.533821897217,13.559456306797562,0.005666666666763398,348.0,5.3836619860191
31,32,1424.0,3390.0,226851.2732223879,476.28906459020646,111731.38331322616,992.9111022985669,115119.88990916175,1101.2373632037595,14.269044778444737,0.005666666667318303,437.0,5.3047981771559
32,33,3871.0,3605.0,114799.79623095697,338.82118607583146,122445.17708475237,86524.90888684995,-7645.380853795403,86525.57227591054,,0.005856821988226842,467.0,5.5638823552617005
33,34,3844.0,3618.0,210649.9187849739,458.9661418398477,112150.2005821084,2571.0593413161696,98499.71820286551,2611.703669240538,14.438333222387573,0.005666666673102713,470.0,5.5101825420502
34,35,3160.0,3785.0,119010.1109254885,344.97842123564686,111776.9401721873,1157.9814584887204,7233.170753301194,1208.2761146864996,17.273598898465373,0.005666713727372412,486.0,5.4630282273398
35,36,847.0,554.0,205429.7455876571,453.2435820924894,111738.07846601434,1079.1404721712738,93691.66712164275,1170.4588430978986,14.492668275647702,0.005666666668277783,33.0,5.0095
36,37,3661.0,1925.0,150985.34540037898,388.56832773099245,111968.2678820256,1116.8745600658433,39017.077518353384,1182.5371572335184,15.443783851264504,0.005666666719950874,228.0,5.6084
37,38,1944.0,2813.0,463832.1826515953,681.0522604131049,112118.44729557897,1054.4976437488472,351713.7353560164,1255.3077160942134,13.056447369956794,0.00566666666671813,339.0,5.2245
38,39,2043.0,3073.0,427583.5171927778,653.8987011220179,111845.70601218975,1060.2492882850615,315737.8111805881,1245.677351740025,13.173604207608783,0.00566666666672282,381.0,5.2046
39,40,439.0,3863.0,536271.6317667578,732.3056955493004,111817.15154786278,1122.7779097693774,424454.480218895,1340.4856830268784,12.852342887399665,0.005666666666713929,493.0,5.3751
40,41,745.0,3871.0,314314.47586983565,560.6375626729458,111916.43603821706,1093.3512273604179,202398.0398316186,1228.7112691964674,13.65640493704217,0.005666666666788425,496.0,5.4362
0,1,3534.0,2262.0,135471.30096163249,368.0642619722678,75349.02002704739,727.019117943765,60122.2809345851,814.8791927622892,12.219508557546146,0.005666667186751172,270.0,5.4258447984907
1,2,1777.0,2369.0,163623.19767631625,404.50364482741185,75447.08213560183,777.3420392510661,88176.11554071443,876.2898177347874,11.803719772166298,0.005666667183387767,281.0,5.4201317272865
