,id,xcenter,ycenter,aperture_sum,aperture_sum_err,total_bkg,total_bkg_err,corrected_sum,corrected_sum_err,inst_magnitudes,inst_magnitudes_err,star_id,plx,magnitudes,magnitudes_err
16,17,1880.0,2075.0,548214.0019168494,740.4147496076324,547191.7031394765,1334.5554926159612,1022.2987773729255,1526.1888363855778,-7.5239446034915165,0.0014603353214180353,292.0,5.5253593511045,17.358477136099218,0.05401974249523027
17,18,1728.0,2316.0,1455257.5503280698,1206.34056022932,548630.7072996954,1369.7857582235456,906626.8430283745,1825.2590420777112,-14.89357143330601,2.2205847958235093e-09,325.0,5.3947671435028,9.988850306284727,0.0540000000000001
18,19,3191.0,2514.0,551483.1420802543,742.6191093061691,549525.9294241813,1341.0815901815402,1957.212656072923,1532.9654180804393,-8.229095038520974,0.000400180872689399,350.0,5.3840864152400005,16.653326701069762,0.05400148280122382
19,20,3884.0,2515.0,792891.3267252608,890.4444523894895,550800.5605271285,1374.4623125399,242090.7661981323,1637.692880665892,-13.459945562352004,2.794319176579781e-08,351.0,5.4180127623563,11.422476177238732,0.054000000000007285
20,21,509.0,2517.0,549668.652311488,741.3964188545657,546329.304783269,1316.3590057260417,3339.3475282191066,1510.7844590961438,-8.809154046837723,0.00013548127380943873,352.0,5.3620924194335,16.073267692753014,0.0540001699550618
21,22,952.0,2667.0,808252.0797696871,899.0284101020771,547029.1425966918,1266.2549388841016,261222.9371729953,1552.9499838755428,-13.542528270809907,2.275803976406074e-08,369.0,5.5444840416606,11.33989346878083,0.05400000000000485
22,23,3313.0,3089.0,960774.8568623455,980.1912403569407,550237.744365411,1363.123592730826,410537.1124969345,1678.9522913805122,-14.033381058474735,9.961701148752325e-09,427.0,5.3956493436395006,10.849040681116001,0.05400000000000097
23,24,3153.0,3213.0,551937.0707085012,742.924673261476,549797.6730360814,1260.398706668298,2139.3976724197855,1463.0591136081239,-8.325728797432902,0.00031965303760949986,443.0,5.4120265655362,16.556692942157834,0.054000946084901684
24,25,2680.0,3302.0,551154.6662694733,742.3979177425977,548850.3190945125,1332.2735675309991,2304.3471749607706,1525.1581973717746,-8.406369777167772,0.00028722290578866294,455.0,5.3874330726631,16.476051962422964,0.05400076385568648
25,26,3213.0,3309.0,714565.979963853,845.320045831887,551269.3171306312,2379.023552797887,163296.66283322184,2524.7413817364154,-13.032443273722778,9.468087861536369e-08,458.0,5.5217257718719,11.849978465867958,0.05400000000008306
26,27,1918.0,3343.0,548675.0179102885,740.7260068126762,547377.6570883364,1271.773687114761,1297.360821952112,1471.7619808943725,-7.782651947129277,0.0008744118251311306,463.0,5.4620404597975,17.09976979246146,0.054007079128943224
27,28,891.0,3528.0,547305.7009755126,739.8011227682864,547139.3189711792,1291.3934072968427,166.38200433342718,1488.2884914084923,-5.552765879386036,0.05376187663279292,487.0,5.4857720493635,19.3296558602047,0.07619933975488011
28,29,3236.0,3797.0,598078.0530265826,773.3550625907652,549842.6077126787,1440.5537230573864,48235.44531390385,1635.014703863321,-11.708415730809797,7.027309446071054e-07,526.0,5.3775165303148,13.174006008780939,0.05400000000457256
29,30,3239.0,3821.0,553429.4113502186,743.9283649653601,550302.5171916733,3428.776690995791,3126.8941585452994,3508.5522668069343,-8.737782952917314,0.00035884061163797657,531.0,5.6268481808374,16.144638786673422,0.05400119227002832
30,31,1956.0,605.0,1326866.4706222853,1151.8968976388092,548849.5274897394,1526.253220840287,778016.9431325459,1912.1494075817566,-14.727472637168464,3.158956994513654e-09,85.0,5.2493,10.154949102422272,0.054000000000000145
31,32,2318.0,1526.0,2439375.174037261,1561.849920152414,550887.2345284679,1723.013839027417,1888487.939508793,2325.543347813603,-15.690285539070487,6.520726844716036e-10,212.0,5.541,9.192136200520249,0.054000000000000055
32,33,21.0,2609.0,801934.396428507,895.5078996725625,547043.505071202,1400.5570197557963,254890.8913573051,1662.3761198847878,-13.515885790086067,2.5587076025492063e-08,359.0,5.4328,11.36653594950467,0.05400000000000612
33,34,3905.0,3759.0,1101557.1785131334,1049.5509385102896,551710.9181914269,1363.0781188184512,549846.2603217065,1720.3311107253387,-14.350603189065465,5.690225689406264e-09,516.0,5.3751,10.531818550525271,0.05400000000000035
0,1,1259.0,1556.0,256236.74620240548,506.1983260615834,101798.3569447353,682.4452890999801,154438.3892576702,849.6871882771355,-12.97188815856247,3.562448076239519e-08,218.0,5.3772342033552,8.894879145353004,0.054000000000759364
1,2,443.0,3368.0,324420.7691986399,569.5794665633907,101516.21173045234,884.7096454434884,222904.55746818756,1052.2033669739799,-13.370297370202962,2.117687099587633e-08,468.0,5.3185976745859,8.496469933712511,0.054000000000751766
2,3,3219.0,3376.0,287552.28594960395,536.239019046215,101874.15751358545,696.3182432801484,185678.12843601848,878.8693767974846,-13.171901874872265,2.549193675549483e-08,471.0,5.4054698138227,8.694865429043208,0.05400000000075363
