,id,xcenter,ycenter,aperture_sum,aperture_sum_err,total_bkg,total_bkg_err,corrected_sum,corrected_sum_err,magnitudes,magnitudes_err,star_id,plx
1,2,210.0,338.0,555630.0018223014,745.4059311541679,429633.86204518285,2076.526219595267,125996.13977711857,2206.2618028843317,14.916107738187485,0.004966554810549912,9.0,5.3643876412787
2,3,3458.0,392.0,732275.6306293812,855.731050940491,432646.4474182552,2453.190918687854,299629.18321112596,2598.1572922123623,13.975540561116338,0.004966554808689763,17.0,5.4193228558734
3,4,4038.0,467.0,433565.33746309945,658.4567847276818,432520.24396293407,2240.4139469257143,1045.0935001653852,2335.17022739953,20.11911297034669,0.005407191716400615,24.0,5.3701870655123
4,5,3372.0,656.0,448100.69930005976,669.4032411805946,432206.4380372123,2359.217203722927,15894.26126284746,2452.3471437880307,17.163899968407698,0.004966564295342458,47.0,5.4098873660766
5,6,3150.0,669.0,433909.2926034321,658.7179162131058,433129.3740677246,5571.209776696532,779.9185357074603,5610.016726276237,20.436877732114645,0.010475105495084595,49.0,5.5274038841671
6,7,3748.0,699.0,555780.0667630848,745.5065837143247,432410.3670315714,2454.3189565734156,123369.69973151345,2565.0461217991815,14.938979567834602,0.004966554811464823,55.0,5.398444417755299
7,8,613.0,820.0,443836.4339754656,666.2105025049204,429698.2346998947,2216.4669953762977,14138.199275570922,2314.4248476112357,17.29101559041627,0.004966568305192292,73.0,5.4647587695276
8,9,1937.0,1086.0,430426.73292862496,656.0691521580416,429649.0322214362,2111.8442715050833,777.7007071887492,2211.4052002069197,20.439969602425034,0.006167275712031865,107.0,5.217016266969599
9,10,1292.0,1102.0,429737.2043340757,655.5434425683767,429232.9189501726,2106.300491537488,504.2853839030722,2205.955340832054,20.910309884994902,0.00999567129659906,108.0,5.323592452342799
10,11,534.0,1150.0,539299.5750794358,734.3701891569174,429107.03086683917,2199.0106003564006,110192.54421259667,2318.393235670382,15.061620310820974,0.004966554812275567,112.0,5.3411540643414
11,12,2853.0,1156.0,674609.8725662364,821.3463794486281,437592.6752396475,5231.098239806512,237017.1973265889,5295.186367781605,14.230051191143897,0.004966554809499902,114.0,5.4524703630873
12,13,3612.0,1234.0,432399.87856959365,657.571196402683,431973.3802954843,2301.8192623258997,426.4982741093263,2393.903046230779,21.092207641939137,0.014066453612190664,130.0,5.9837791003485
13,14,2640.0,1467.0,531396.6724295964,728.9695978992513,431402.07261167996,2290.932296171254,99994.59981791646,2404.114693666234,15.167059470423991,0.004966554814425394,156.0,5.423246933217801
14,15,4016.0,1535.0,433206.0434127778,658.183898159926,432276.7353514715,2283.124697022914,929.3080613063066,2376.1027810162104,20.246601575946848,0.005677727762953516,165.0,5.4941773330398
15,16,733.0,1585.0,1300683.5495806285,1140.475138540389,429568.30430500105,2284.7454223121017,871115.2452756275,2553.57498155132,12.81681180126479,0.004966554808606588,171.0,5.4279258869765
16,17,1821.0,1591.0,430928.20969354245,656.4512231274878,429560.061002618,2264.2956180892584,1368.1486909244559,2357.5332138580343,19.82666758900892,0.005123763864859623,173.0,5.538436153919
17,18,1385.0,1692.0,1783864.1248796138,1335.6137617310887,432891.9294415646,13477.981998544246,1350972.1954380493,13543.997300413503,12.34038481002393,0.004966554808610992,186.0,5.288666627082
18,19,2293.0,1803.0,635051.7737826953,796.901357281024,430076.32137554174,2278.0585812462296,204975.45240715356,2413.4213624698696,14.387746203036,0.0049665548089376284,210.0,5.2277047389662
19,20,2030.0,1879.0,431721.4321743491,657.0551203792435,429540.1761266632,2136.982357210116,2181.2560476858635,2235.7135385026154,19.32023421606649,0.004988734313250515,221.0,5.2459994999267
20,21,1109.0,1975.0,429019.5607437308,654.9958476563828,428587.9970436511,2123.279397493261,431.5637000796851,2222.011467177082,21.0793885672744,0.012922928374115954,234.0,5.0897708439824
21,22,1236.0,1991.0,435660.2886898604,660.0456716432897,428685.3537302593,2180.9882018049047,6974.934959601087,2278.6772094939715,18.058150431552278,0.0049667756650539465,236.0,5.4557877616812
