,id,xcenter,ycenter,aperture_sum,aperture_sum_err,total_bkg,total_bkg_err,corrected_sum,corrected_sum_err,inst_magnitudes,inst_magnitudes_err,star_id,plx,magnitudes,magnitudes_err
20,21,3313.0,3089.0,669531.6888540569,818.2491609173718,382941.9685633622,1579.917967710839,286589.7202906947,1779.2336760632456,-13.643151521494092,2.1662659470038677e-08,427.0,5.3956493436395006,11.568864039362284,0.07300000000000331
21,22,3153.0,3213.0,383344.2738625161,619.1480238642664,382648.05946938304,1568.2358794184888,696.2143931330647,1686.0332288986797,-7.1068574934840525,0.0034784049048936397,443.0,5.4120265655362,18.105158067372322,0.07308282493638572
22,23,2680.0,3302.0,382970.7894464287,618.8463373489636,382231.4965581258,1625.2769462501763,739.2928883029381,1739.1078003569892,-7.172041321203092,0.0031819506963178304,455.0,5.3874330726631,18.039974239653283,0.07306931510718992
23,24,3213.0,3309.0,479464.9676047146,692.4340893984025,383772.7731105742,2223.626665697772,95692.19449414039,2328.9440775946478,-12.452191285759397,2.543349429704847e-07,458.0,5.5217257718719,12.759824275096978,0.07300000000044315
24,25,1918.0,3343.0,381519.77180139197,617.6728673158236,381200.88212059054,1638.891602310945,318.88968080142513,1751.423836523726,-6.259101164495692,0.017223060393919274,463.0,5.4620404597975,18.952914396360683,0.07500422527653096
25,26,891.0,3528.0,380693.43509191443,617.0035947824069,380546.09738384467,1686.4033285223534,147.33770806976827,1795.7309437735057,-5.420784774622561,0.08272055635776183,487.0,5.4857720493635,19.791230786233815,0.11032538440512078
26,27,3236.0,3797.0,403103.2680028875,634.904140571468,383259.6433137545,1610.1185176982112,19843.624689132965,1730.7758112330664,-10.744052511116484,4.395404091548652e-06,526.0,5.3775165303148,14.467963049739891,0.07300000013232598
27,28,3239.0,3821.0,384478.36516799155,620.0631942947821,383513.321169729,2125.4830896443746,965.0439982625539,2214.0814640123895,-7.461367785346641,0.002377384176668225,531.0,5.6268481808374,17.750647775509734,0.07303870176504705
28,29,1956.0,605.0,928350.0580334407,963.5092434802409,383580.16270070715,1657.5684006110023,544769.8953327336,1917.2592586752532,-14.340532749775967,6.460329124369478e-09,85.0,5.2493,10.871482811080408,0.07300000000000038
29,30,2318.0,1526.0,1999135.654197508,1413.9079422393831,384747.7871875928,1696.0159017426813,1614387.8670099152,2208.077355549766,-15.52001971237325,8.472245153520091e-10,212.0,5.541,9.691995848483126,0.0730000000000001
